id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1944,cafeheaven Pberg/Mitte,2164,Lulah,Mitte,Brunnenstr. Nord,52.54425,13.39749,Private room,21,60,18,2018-11-11,0.24,1,251
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.535,13.41758,Entire home/apt,90,62,145,2019-06-27,1.14,1,344
3309,BerlinSpot Schöneberg near KaDeWe,4108,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.49885,13.34906,Private room,28,7,27,2019-05-31,0.35,1,317
6883,Stylish East Side Loft in Center with AC & 2 bikes,16149,Steffen,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51171,13.45477,Entire home/apt,125,3,128,2019-10-21,1.08,1,20
7071,BrightRoom with sunny greenview!,17391,BrightRoom,Pankow,Helmholtzplatz,52.54316,13.41509,Private room,33,3,266,2019-11-09,2.13,2,30
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.53303,13.41605,Entire home/apt,180,6,7,2019-07-15,0.13,1,45
14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54785,13.40556,Entire home/apt,70,90,24,2019-07-01,0.21,4,215
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50479,13.4351,Entire home/apt,90,60,48,2017-12-14,0.42,2,87
17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),68997,Matthias,Neukölln,Reuterstraße,52.49548,13.42182,Entire home/apt,49,5,252,2019-11-11,2.13,1,286
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.53695,13.40762,Entire home/apt,129,3,81,2019-11-04,0.93,1,167
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50273,13.43462,Entire home/apt,70,60,60,2016-06-05,0.54,2,165
22415,Stylishly furnished 3 room flat,86068,Kiki,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49485,13.4285,Entire home/apt,98,2,77,2019-10-06,0.67,2,95
22677,Prenzel garden with leafy terrace (quiet Guests),87357,Ramfis,Mitte,Brunnenstr. Süd,52.53435,13.40558,Entire home/apt,160,2,286,2019-11-04,2.58,1,280
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48971,13.37975,Entire home/apt,65,60,130,2019-10-02,1.13,1,73
24569,Sunny & Wheelchair accessible,99662,Dominik,Pankow,Prenzlauer Berg Südwest,52.53079,13.41808,Entire home/apt,90,3,20,2019-11-08,0.18,2,3
25653,Sunny & stylish 150 sqm apartment,99662,Dominik,Pankow,Prenzlauer Berg Süd,52.53026,13.41947,Entire home/apt,90,4,5,2016-08-14,0.04,2,0
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.54406,13.42138,Entire home/apt,209,3,185,2019-11-02,1.64,1,347
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54672,13.40512,Entire home/apt,70,90,30,2019-04-15,0.27,4,172
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54179,13.42388,Entire home/apt,65,60,73,2019-07-31,0.66,3,286
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54597,13.42236,Entire home/apt,100,4,286,2019-11-10,2.56,4,264
33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Claudio&Irina,Mitte,Moabit Ost,52.52142,13.35708,Entire home/apt,62,2,192,2019-11-04,1.71,1,43
35152,Private Room w/ own bath in Design Mitte Loft,151248,Flo,Mitte,Brunnenstr. Süd,52.53506,13.39699,Private room,75,2,17,2019-11-11,0.17,1,240
36480,ChimaysaberlinB&B Single Bedroom,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51968,13.30209,Private room,40,1,48,2019-11-02,1.47,2,321
37004,WONDERFUL ROOM for longer stays Berlin Central,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.49339,13.36481,Private room,30,10,24,2019-07-03,0.21,1,287
37836,Weekend in Berlin Party Center - II,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49847,13.44013,Private room,39,3,189,2019-10-25,1.66,2,170
38074,3 months min stay in the heart of Prenzlauer Berg!,163384,Alan & Kasia,Pankow,Prenzlauer Berg Süd,52.5368,13.42547,Entire home/apt,80,84,105,2019-10-28,0.94,10,168
38296,nice apartment to rent in Neukölln in September!,164310,Oliver,Neukölln,Schillerpromenade,52.48586,13.42362,Entire home/apt,80,10,6,2012-07-27,0.05,1,317
40600,room-artist loft berlin kreuzberg ,174970,Judith,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48844,13.4206,Private room,50,3,50,2016-09-26,0.54,2,0
41217,Beautiful room in Prenzlauer Berg,179110,Bn,Pankow,Prenzlauer Berg Südwest,52.53641,13.41231,Private room,43,2,70,2017-10-08,0.62,1,0
41306,"Schöner Altbau, 6 min zum Alexanderpatz.",179872,Sebastian,Pankow,Prenzlauer Berg Süd,52.53028,13.42348,Private room,40,1,1,2014-09-26,0.02,1,0
42742,Spacious 35m2 in Central Apartment,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49667,13.44034,Private room,36,3,38,2019-11-01,0.41,2,307
42809,The Berlin Artist Apartment.,186851,Tina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51176,13.45536,Entire home/apt,119,4,146,2019-11-11,1.36,1,291
44083,Riverside View Apartment,193038,Michaela,Treptow - Köpenick,Alt  Treptow,52.4904,13.44085,Private room,42,2,18,2019-10-24,0.17,1,338
44423,Lovely accommodation in Berlin,194957,Robert,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50888,13.45636,Private room,56,82,105,2019-01-11,0.94,1,0
46172,Chic Loft By Kastanienallee,206338,Heike,Mitte,Brunnenstr. Süd,52.53809,13.40536,Entire home/apt,48,60,39,2019-11-01,0.42,2,12
47938,Lovely 2 BR flat in Prenzlauer Berg,218479,Laura,Pankow,Prenzlauer Berg Südwest,52.53219,13.41988,Entire home/apt,169,3,39,2019-06-10,0.35,1,0
48955,Cozy studio in the heart of Berlin,211722,Anne,Pankow,Prenzlauer Berg Südwest,52.53627,13.42081,Entire home/apt,70,4,1,2019-07-17,0.25,1,279
52734,"LUMINOUS, LOFT LIKE APT IN F'HAIN",112446,Boris,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51121,13.45728,Entire home/apt,88,9,5,2016-10-21,0.06,1,317
54952,Riverfront Panorama,258697,Trent,Mitte,Alexanderplatz,52.52359,13.38741,Private room,52,4,179,2019-11-01,1.63,1,1
55853,Hauptstadt-Domizil,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.5034,13.29203,Entire home/apt,55,60,14,2019-10-23,0.17,1,318
56357,BlissRoom with sunny greenview!,17391,BrightRoom,Pankow,Helmholtzplatz,52.54251,13.41718,Private room,33,3,256,2019-10-31,2.33,2,27
57049,130 sqm with a view on Mauer Park,54283,Marine,Pankow,Prenzlauer Berg Nordwest,52.54787,13.40417,Entire home/apt,220,3,92,2019-08-25,0.84,3,100
57209,Top apartment in Mitte-Arkonaplatz,272286,Vilius,Mitte,Brunnenstr. Süd,52.53683,13.39897,Entire home/apt,80,3,202,2019-10-19,1.88,1,145
58780,light quiet beautiful 4 room flat,281614,Katja,Pankow,Prenzlauer Berg Süd,52.5342,13.42671,Entire home/apt,130,5,41,2019-10-20,0.41,2,244
60161,House at the water,898681,Michael,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.37828,13.65275,Entire home/apt,120,3,7,2018-11-04,0.11,4,82
62613,Super Apartment in Berlin/Kreuzberg,227954,Guidi,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49729,13.42297,Entire home/apt,85,5,20,2019-09-10,0.19,1,313
63052,"Beautiful, quiet, clean & central.",307513,Shoshik,Neukölln,Neuköllner Mitte/Zentrum,52.46892,13.43454,Private room,37,22,102,2019-09-30,1.16,3,346
63468,Ferienwohnung Kreuzberg,309364,Kreuzberger,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5036,13.43206,Entire home/apt,52,2,136,2019-10-29,1.53,4,287
64245,Room w/ balcony and private bathroom in nice area,312373,Christian,Pankow,Prenzlauer Berg Nordwest,52.5465,13.40633,Private room,55,3,56,2019-09-10,0.55,2,147
64590,Great apt. w. balcony directly on the canal!,315681,Mirjam,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49497,13.42399,Entire home/apt,118,5,42,2019-09-22,0.43,1,38
68142,Cute sunny room in Friedrichshain,337021,Dayna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52489,13.45386,Private room,29,2,73,2019-09-04,0.82,1,47
68448,Studio in Prenzlauer Berg near popular Mauerpark,163384,Alan & Kasia,Pankow,Prenzlauer Berg Nord,52.5498,13.41596,Entire home/apt,84,3,283,2019-11-08,2.75,10,352
72079,"Italian Design at Kudamm ,WiFi DSL free",261488,P. Charlotte,Charlottenburg-Wilm.,Kantstraße,52.5078,13.31871,Entire home/apt,80,3,57,2019-11-03,0.71,1,325
73302,Penthouse-Loft  Berlin-Schöneberg,382638,Nad,Tempelhof - Schöneberg,Schöneberg-Nord,52.50105,13.35032,Entire home/apt,69,3,257,2019-11-06,2.42,1,251
74614,City apartment in Prenzlauer Berg,393047,Fatena,Pankow,Prenzlauer Berg Südwest,52.5377,13.40854,Entire home/apt,185,5,70,2019-10-30,0.78,1,350
80843,Berlin City Studio Apt.,437628,Oliver,Charlottenburg-Wilm.,Schmargendorf,52.48086,13.28998,Entire home/apt,49,2,98,2019-10-12,0.94,2,17
81049,Lux.2BR Apart.Berlin Mitte -Licensed!,249501,Elfie And  Paul,Mitte,Regierungsviertel,52.52184,13.39067,Entire home/apt,155,4,41,2019-01-02,0.40,1,208
81081,Beautiful Prenzlauer Berg Apt,425899,Bernd+Katja :-),Pankow,Prenzlauer Berg Nord,52.54968,13.41528,Entire home/apt,66,3,282,2019-11-11,2.70,1,104
82893,Apartment 2 Mitte,451311,Ruth,Mitte,Brunnenstr. Süd,52.532,13.38285,Entire home/apt,75,3,100,2019-10-21,0.98,3,11
83183,Garden Apartment-Prenzlauer Berg,453109,Angela L.,Pankow,Prenzlauer Berg Süd,52.53677,13.42447,Entire home/apt,53,2,265,2019-10-18,2.63,1,148
83568,Beautiful stylish Prenzlauer Berg rooftop apt.,455670,Olaf,Pankow,Helmholtzplatz,52.54485,13.41891,Entire home/apt,99,2,15,2019-09-09,1.09,1,14
83614,Spacious Prenzlauer Berg Apartment in Quiet Street,456085,Louis,Pankow,Helmholtzplatz,52.54622,13.41786,Entire home/apt,170,1,291,2019-10-27,2.77,2,323
85560,Apartment 1 in Berlin,451311,Ruth,Mitte,Brunnenstr. Süd,52.53182,13.3823,Entire home/apt,79,3,84,2019-10-28,1.52,3,317
86090,spacious and cozy living in PrenzlBerg,472567,Alexandra,Pankow,Prenzlauer Berg Nord,52.54584,13.42612,Entire home/apt,89,4,121,2019-09-18,1.18,4,15
86514,"Sunny room, Kreuzberg",464827,Hayley,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49821,13.44178,Private room,80,2,45,2019-01-01,0.43,1,365
87549,Independent room in green Kreuzberg,81113,Carol,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49616,13.37397,Private room,47,3,208,2019-11-11,2.00,1,285
89102,Bright loft in the Kastanienallee,485838,Michele,Pankow,Prenzlauer Berg Südwest,52.54053,13.40995,Entire home/apt,114,6,59,2019-05-12,0.57,4,0
91290,Gardenside flat for 2-3 guests,382397,Josep,Neukölln,Reuterstraße,52.49004,13.42619,Entire home/apt,60,2,44,2017-10-09,0.42,1,12
102882,STORAGE APARTMENT URBAN,86173,Sebastian,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48878,13.42196,Entire home/apt,506,3,112,2017-04-16,1.09,2,0
103602,Fabulous Room in Berlin's cultural centre,422837,Francesca,Pankow,Prenzlauer Berg Südwest,52.53947,13.41009,Private room,40,4,8,2019-11-10,0.08,1,339
106331,Beautiful flat in Prenzlauer Berg,551159,Lauri,Pankow,Prenzlauer Berg Süd,52.5337,13.4367,Entire home/apt,82,60,94,2019-09-30,0.91,2,365
109658,Spacious Studio Apartment in Berlin,565578,Miriam,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52426,13.45207,Entire home/apt,60,3,85,2019-07-29,0.84,1,286
