neighbourhood_group,neighbourhood
Charlottenburg-Wilm.,Barstraße
Charlottenburg-Wilm.,Charlottenburg Nord
Charlottenburg-Wilm.,Düsseldorfer Straße
Charlottenburg-Wilm.,Forst Grunewald
Charlottenburg-Wilm.,Grunewald
Charlottenburg-Wilm.,Halensee
Charlottenburg-Wilm.,Heerstrasse
Charlottenburg-Wilm.,Kantstraße
Charlottenburg-Wilm.,Kurfürstendamm
Charlottenburg-Wilm.,Mierendorffplatz
Charlottenburg-Wilm.,Neue Kantstraße
Charlottenburg-Wilm.,Otto-Suhr-Allee
Charlottenburg-Wilm.,Schloß Charlottenburg
Charlottenburg-Wilm.,Schmargendorf
Charlottenburg-Wilm.,Volkspark Wilmersdorf
Charlottenburg-Wilm.,Westend
Charlottenburg-Wilm.,Wiesbadener Straße
Friedrichshain-Kreuzberg,Frankfurter Allee Nord
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd
Friedrichshain-Kreuzberg,nördliche Luisenstadt
Friedrichshain-Kreuzberg,Südliche Friedrichstadt
Friedrichshain-Kreuzberg,südliche Luisenstadt
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt
Lichtenberg,Alt-Hohenschönhausen Nord
Lichtenberg,Alt-Hohenschönhausen Süd
Lichtenberg,Alt-Lichtenberg
Lichtenberg,Fennpfuhl
Lichtenberg,Frankfurter Allee Süd
Lichtenberg,Friedrichsfelde Nord
Lichtenberg,Friedrichsfelde Süd
Lichtenberg,Karlshorst
Lichtenberg,"Malchow, Wartenberg und Falkenberg"
Lichtenberg,Neu-Hohenschönhausen Nord
Lichtenberg,Neu-Hohenschönhausen Süd
Lichtenberg,Neu Lichtenberg
Lichtenberg,Rummelsburger Bucht
Marzahn - Hellersdorf,Biesdorf
Marzahn - Hellersdorf,Hellersdorf-Nord
Marzahn - Hellersdorf,Hellersdorf-Ost
Marzahn - Hellersdorf,Hellersdorf-Süd
Marzahn - Hellersdorf,Kaulsdorf
Marzahn - Hellersdorf,Mahlsdorf
Marzahn - Hellersdorf,Marzahn-Mitte
Marzahn - Hellersdorf,Marzahn-Nord
Marzahn - Hellersdorf,Marzahn-Süd
Mitte,Alexanderplatz
Mitte,Brunnenstr. Nord
Mitte,Brunnenstr. Süd
Mitte,Moabit Ost
Mitte,Moabit West
Mitte,Osloer Straße
Mitte,Parkviertel
Mitte,Regierungsviertel
Mitte,Tiergarten Süd
Mitte,Wedding Zentrum
Neukölln,Britz
Neukölln,Buckow
Neukölln,Buckow Nord
Neukölln,Gropiusstadt
Neukölln,Köllnische Heide
Neukölln,Neuköllner Mitte/Zentrum
Neukölln,Reuterstraße
Neukölln,Rixdorf
Neukölln,Rudow
Neukölln,Schillerpromenade
Pankow,Blankenburg/Heinersdorf/Märchenland
Pankow,Blankenfelde/Niederschönhausen
Pankow,Buch
Pankow,Buchholz
Pankow,Helmholtzplatz
Pankow,Karow
Pankow,Pankow Süd
Pankow,Pankow Zentrum
Pankow,Prenzlauer Berg Nord
Pankow,Prenzlauer Berg Nordwest
Pankow,Prenzlauer Berg Ost
Pankow,Prenzlauer Berg Süd
Pankow,Prenzlauer Berg Südwest
Pankow,Schönholz/Wilhelmsruh/Rosenthal
Pankow,Weißensee
Pankow,Weißensee Ost
Reinickendorf,MV 1
Reinickendorf,MV 2
Reinickendorf,Nord 1
Reinickendorf,Nord 2
Reinickendorf,Ost 1
Reinickendorf,Ost 2
Reinickendorf,West 1
Reinickendorf,West 2
Reinickendorf,West 3
Reinickendorf,West 4
Reinickendorf,West 5
Spandau,Brunsbütteler Damm
Spandau,Falkenhagener Feld
Spandau,Gatow / Kladow
Spandau,Hakenfelde
Spandau,Haselhorst
Spandau,Heerstraße Nord
Spandau,Siemensstadt
Spandau,Spandau Mitte
Spandau,Wilhelmstadt
Steglitz - Zehlendorf,Albrechtstr.
Steglitz - Zehlendorf,Drakestr.
Steglitz - Zehlendorf,Lankwitz
Steglitz - Zehlendorf,Ostpreußendamm
Steglitz - Zehlendorf,Schloßstr.
Steglitz - Zehlendorf,Teltower Damm
Steglitz - Zehlendorf,Zehlendorf  Nord
Steglitz - Zehlendorf,Zehlendorf  Südwest
Tempelhof - Schöneberg,Friedenau
Tempelhof - Schöneberg,Lichtenrade
Tempelhof - Schöneberg,Mariendorf
Tempelhof - Schöneberg,Marienfelde
Tempelhof - Schöneberg,Schöneberg-Nord
Tempelhof - Schöneberg,Schöneberg-Süd
Tempelhof - Schöneberg,Tempelhof
Treptow - Köpenick,Adlershof
Treptow - Köpenick,Allende-Viertel
Treptow - Köpenick,Altglienicke
Treptow - Köpenick,Altstadt-Kietz
Treptow - Köpenick,Alt  Treptow
Treptow - Köpenick,Baumschulenweg
Treptow - Köpenick,Bohnsdorf
Treptow - Köpenick,Dammvorstadt
Treptow - Köpenick,Friedrichshagen
Treptow - Köpenick,Grünau
Treptow - Köpenick,Johannisthal
Treptow - Köpenick,Kölln. Vorstadt/Spindlersf.
Treptow - Köpenick,Köpenick-Nord
Treptow - Köpenick,Köpenick-Süd
Treptow - Köpenick,Müggelheim
Treptow - Köpenick,Niederschöneweide
Treptow - Köpenick,Oberschöneweide
Treptow - Köpenick,Plänterwald
Treptow - Köpenick,Rahnsdorf/Hessenwinkel
Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder
,
